																									
																									
																									
																									
																									
			금지어 목록	게임에서 사용하면 안되는 나쁜말을 적어주세요																					
																									
																									
																									
				언어 상관 없이 나쁜말을 적어주세요																					
			index	wordFilter																					
			660	ㅇㅈㅁ																					
			661	ㅁㅊㅅㄲ																					
			662	ㅅㅂㅅㄲ																					
			663	ㅈㄹㄴ																					
			664	ㄴㅈㄹㄴ																					
			665	ㄹㅈㄷ																					
			666	ㅈㅅㄱ																					
			667	ㄴㄲ																					
			668	ㅈㄹㄹ																					
			669	ㅈㅈㄹ																					
			670	ㄱㅅㄲㅈ																					
			671	ㄱㅇㅈ																					
			672	ㅎㅇㅌ																					
			673	ㄷㅅㄲ																					
			674	ㅈㄴㄱ																					
			675	ㄹㅇㅋㅋ																					
			676	ㅅㅂㅋㅋ																					
			677	ㅅㅂㄹㅁㅋ																					
			678	ㄱㅁㅈ																					
			679	ㄹㅁㅅ																					
			680	ㅇㄱㄹㅇ																					
			681	ㅂㅅㅋ																					
			682	ㅇㅉㅋ																					
			683	ㅂㅂㄱ																					
			684	ㅈㄴㄴ																					
			685	ㅈㄴㅇㅈ																					
			686	ㅎㅅㅌ																					
			687	ㄷㅈㅇ																					
			688	ㅎㅂㄱ																					
			689	ㅁㅊㅅㄲㅋ																					
			690	ㅆㅂㄹㅁㅋ																					
			691	ㄱㅂㅅ																					
			692	ㄴㅅㄲ																					
			693	ㄱㄷㅂ																					
			694	ㅂㅅㅌㅊ																					
			695	ㅆㄹㅁㄱ																					
			696	ㅂㅈㅂㅈ																					
			697	ㅂㄹㅇㄴ																					
			698	ㄱㅈㅅㄲ																					
			699	ㄴㅂㅇ																					
			700	ㄱㅂㄹ																					
			701	ㄴㄱㅅ																					
			702	ㄹㅇㄹㅇ																					
			703	ㄴㅂㅊ																					
			704	ㅇㅂㅈㄹ																					
			705	ㅅㅂㄹ																					
			706	ㄱㄱㅂㄹ																					
			707	ㄷㄷㅅ																					
			708	ㅇㄷㄴ																					
			709	ㅅㅂㄹㅇ																					
			710	ㄴㅇㅂ																					
			711	ㅈㄴㄹㅇ																					
			712	ㅂㅅㄹㅇ																					
			713	ㅂㅂㅂㅇ																					
			714	ㅂㅅㅇㅇ																					
			715	ㅈㅅㅇㅇ																					
			716	ㅆㅂㅇㅇ																					
			717	ㅈㅈㅇㅇ																					
			718	ㅂㅈㅇㅇ																					
			719	ㅈㄴㅇㅇ																					
			720	ㅆㅂㄱㄴ																					
			721	ㅈㄴㄱㄴ																					
			722	ㅈㄴㄷㄱ																					
			723	ㅈㄴㅂㅅ																					
			724	ㅂㅈㅅㄲ																					
			725	ㄲㅈㅁㄴ																					
			726	ㅇㅇㅂㄱ																					
			727	ㅂㅈㄱ																					
			728	ㅈㅈㅇㅈ																					
			729	ㅂㅈㅈㄹ																					
			730	ㅈㄹㅂㅅ																					
			731	ㅂㅅㅇㅈ																					
			732	ㅇㅈㄷ																					
			733	ㄱㅅㅇㅈ																					
			734	ㅁㅊㅇㅈ																					
			735	a$$hole																					
			736	a$$																					
			737	a55																					
			738	a5shat																					
			739	a5shole																					
			740	ahole																					
			741	azzhole																					
			742	b!tch																					
			743	b@stard																					
			744	b17ch																					
			745	b1tch																					
			746	bast4rd																					
			747	basturd																					
			748	bitxh																					
			749	bitcha$$																					
			750	bl0wj0b																					
			751	blowj0b																					
			752	buttsecks																					
			753	c0ck																					
			754	c0ndom																					
			755	cl1t																					
			756	clit0ris																					
			757	cockslut																					
			758	cumguzzler																					
			759	cummer																					
			760	cuntbag																					
			761	d1ck																					
			762	d1ldo																					
			763	dammit																					
			764	dirtypic																					
			765	dumbfuck																					
			766	f u c k																					
			767	f-ck																					
			768	f--k																					
			769	f.u.c.k																					
			770	fapster																					
			771	fck																					
			772	fcku																					
			773	fckyou																					
			774	fkn																					
			775	fml																					
			776	freaksex																					
			777	frick																					
			778	frik																					
			779	fucck																					
			780	fuck3r																					
			781	fuckah																					
			782	fuckass																					
			783	fuckboyz																					
			784	fucken																					
			785	fuckerino																					
			786	fuckfest																					
			787	fuckin																					
			788	fuckit																					
			789	fuckme																					
			790	fucko																					
			791	fuckoff																					
			792	fuckstick																					
			793	fucktard																					
			794	fucktards																					
			795	fucktoy																					
			796	fucku																					
			797	fuckwad																					
			798	fuckwhit																					
			799	fudgepacker																					
			800	fukk																					
			801	fux																					
			802	fuxk																					
			803	fuxked																					
			804	gay4u																					
			805	ghey																					
			806	godamn																					
			807	godamnit																					
			808	goddam																					
			809	goddamit																					
			810	gstring																					
			811	handycock																					
			812	hardcoresex																					
			813	hellno																					
			814	horsecock																					
			815	hornyfuck																					
			816	horniest																					
			817	hotsex																					
			818	idi0t																					
			819	inc3st																					
			820	jacka$$																					
			821	jackhole																					
			822	jackshit																					
			823	jerk0ff																					
			824	jerkface																					
			825	jerkmate																					
			826	jizzed																					
			827	jizzy																					
			828	kinkyshit																					
			829	kunt																					
			830	lezzie																					
			831	lickballs																					
			832	licker																					
			833	lickme																					
			834	lilslut																					
			835	mastur8																					
			836	motha																					
			837	motherfkr																					
			838	muffdive																					
			839	muffdiver																					
			840	nastyslut																					
			841	nekkid																					
			842	nobjockey																					
			843	nudez																					
			844	nuttjob																					
			845	orgazm																					
			846	pant1es																					
			847	pantiesxxx																					
			848	pen15																					
			849	pen1s																					
			850	phag																					
			851	phuck																					
			852	phucker																					
			853	porn0																					
			854	pornvids																					
			855	pr0n																					
			856	pu55y																					
			857	pussie																					
			858	rapey																					
			859	rimj0b																					
			860	sadist																					
			861	screwyou																					
			862	screwedup																					
			863	sex4u																					
			864	sexaddict																					
			865	sexchat																					
			866	sexedup																					
			867	sexfan																					
			868	sexguy																					
